Country,"Job Title",Max_Salary
USA,"Assistant Film Editor","95,000"
"United States ","Management Trainee",94960
"New Zealand","Functional Consultant",94726
Canada,"Sales Engineer",94710
"United States","Supervisory Social Insurance Specialist ",94523
"United States ","Policy Analyst",94500
"United States","Associate Executive Director",94500
USA,"Quality Assurance Specialist II",94500
India,"Actuarial specialist","945,000"
Canada,"physics technologist",94000
"United States","Quality Assurance Manager",94000
"United States","Regulatory - environmental",94000
USA,"Application Support Manager",94000
"United States","Library Director ",94000
US,"Inside Account Manager 3",94000
"United States","Editor ",94000
"United States","Salesforce Consultant",94000
USA,"Content Director",94000
Canada,"Finance Manager",94000
USA,"Application Developer",94000
Canada,"Program Manager ",94000
usa,analyst,94000
USA,"Human Resources Manager",94000
"United States","Sourcing Manager",94000
USA,"Social Science Researcher",94000
USA,"VP of Institutional Advancement ",94000
USA,"Mechanical Engineer II",94000
"United States of America","Nature Center Supervisor ",94000
"United States","Senior GIS Analyst",94000
"United States","Digital Scholarship Specialist","94,929"
USA,"Web Applications Administrator","94,896"
"United States","Director, New Product Development","94,710"
USA,"Senior Software Developer","94,700"
USA,"Grant Offier ","94,640"
"United States","US HR Manager","94,550"
Canada,"Product Owner, IT","94,500"
U.S.,"Veterinarian ","94,500"
Canada,"General Manager","94,500"
"United States","Project Manager/Architect","94,500"
"Us ","Director rehabilitation ","94,500"
"United States","Production Team Lead","94,500"
Australia,"Government worker","94,500"
USA,"Benefits and leave manager","94,500"
Virginia,Attorney,"94,500"
USA,"Associate professor ","94,500"
USA,"Assistant Director","94,400"
USA,"Lead Aero-Thermal Engineer","94,350"
USA,"Integration and Test Engineer","94,300"
US,"Security Engineer","94,257"
"United States","Senior Scientist ","94,120"
US,"IP Coordinator/Legal Assistant","94,100"
"United States","Senior Marketing Coordinator","94,010"
"United States","Associate Publicity DIrector","94,000"
US,"Health researcher","94,000"
"United States",teacher,"94,000"
USA,"Emergency Management Specialist ","94,000"
Usa,"Lead business controls specialist","94,000"
"United States","Nurse practitioner ","94,000"
USA,"Web developer","94,000"
"United States","Principal Planning Analyst","94,000"
"United States","Senior Consultant","94,000"
"united states","eCommerce Marketing Director","94,000"
"United States","ETL Developer II","94,000"
"United States","Research Engineer","94,000"
U.S.,"Head of Community Relations","94,000"
"United States","Account Supervisor","94,000"
"United States",Controller,"94,000"
"United States","Senior Data Scientist","94,000"
"United States","Director of Human Resources","94,000"
USA,"Senior Instructional Designer","94,000"
"United States","Communications Program Director","94,000"
U.S.A.,"Senior Structural Engineer","94,000"
"United States","Associate Software Engineer","94,000"
U.S.,"Computational Biologist","94,000"
USA,"Research manager ","94,000"
"United States","Technical Implementation Manager","94,000"
USA,"Budget Manager","94,000"
US,partner,"94,000"
USA,"Sr Analyst - Workforce Technology","94,000"
USA,"Process Engineer","94,000"
"United States","Journeyman electrician","94,000"
US,"Deputy Public Defender","94,000"
USA,"Scientist 1","94,000"
Australia,"Site Engineer (Grad)","94,000"
France,"Software Engineer","94,000"
"United States ","Technical writer II","94,000"
USA,"Clinical Applications Specialist ","94,000"
US,"Senior Plans and Research Analyst","94,000"
USA,"Computational Physicist","94,000"
USA,"Rail Engineer ","94,000"
Canada,Economist,"94,000"
USA,"Behavioral Health Manager","94,000"
Ireland,"Engagement Manager","94,000"
USA,"Technical Writer II","94,000"
U.S,"Talent Acquisition Advisor",93800
"United States","Digital Designer",93600
"USA ","Enterprise sales rep",93500
Canada,"Marketing and Communications Manager",93500
Usa,"Compensation Manager",93500
USA,"InfoSec Risk & Compliance Analyst ",93500
U.S.A.,Archivist,93400
"United States","Compliance Manager",93400
USA,"Associate Professor",93000
USA,Lawyer,93000
"United States","Library Manager",93000
U.S.,"Senior Manager",93000
USA,"Analytics Manager",93000
"United States","Senior Executive Assistant",93000
"United States","Research Associate",93000
Canada,"Engagement officer",93000
"United States","Digital Design Engineer",93000
Canada,"Manager Mental Health Program",93000
USA,"director, annual giving",93000
"United States","Database Software Engineer",93000
"United States ","Senior success engineer (tier 2)",93000
"United States","Technical Writer Lead",93000
"United States","Senior Research Counsel",93000
USA,"Global Planner IV",93000
"Canada ","Manager, Finance ",93000
"USA ","Speech Language Pathologist",93000
US,"Manager of Donor Management",93000
"United States","Lead Instructional Desinger",93000
"United States","IT Business Analyst",93000
"United States","Senior underwriter ",93000
USA,"Technical Development Research Associate",93000
USA,"Engineering Director",93000
USA,"Engineering Leadership",93000
USA,"Director of Publications",93000
Canada,"Crime Analyst",93000
"New Zealand","Senior Policy Analyst","93,900"
USA,"Software Developer and Consultant","93,800"
USA,"Branch Manager","93,777"
"USA ","Finance manager ","93,750"
Canada,"Registered Nurse","93,662"
USA,"Ballet teacher","93,600"
"United States","HR Director","93,600"
USA,"Content Writer","93,600"
USA,"Associate Manager, Marketing","93,600"
US,"Supplier Quality Engineer","93,600"
USA,"Lead Software QA Engineer","93,600"
US,"Program Director","93,583"
"Australia ","Digital operations officer","93,536"
"United States of America","Data Analyst","93,500"
USA,"Senior IT Professional","93,500"
USA,"Sr. IT Business Analyst","93,500"
USA,"Air traffic controller ","93,500"
Canada,"Senior Editor","93,500"
"United States","Lead Civil Engineer","93,500"
USA,"account manager","93,500"
USA,"Marketing Director","93,500"
"United States","Sr. Systems Engineer ","93,500"
Canada,"Legal Counsel","93,500"
"United States","Director of Administration","93,328"
Canada,"IT Technical Consultant","93,300"
USA,"Underwriting Assistant","93,300"
Canada,"IT analyst/developer","93,224"
US,"Licensed Clinical Social Worker","93,203"
"United States","Management Consultant","93,200"
USA,"Staff Attorney","93,198"
USA,"Art-in-Architecture Manager","93,132"
USA,Historian,"93,013"
USA,"Director of Agency Services","93,000"
"United State","Communications & Marketing Director","93,000"
"United States ","Market research manager ","93,000"
USA,"System Integrator","93,000"
USA,"Associate Principal ","93,000"
"United States","Senior Policy Analyst","93,000"
"United States","Financial Planner","93,000"
Germany,"Head of Product","93,000"
"United States","UX Designer","93,000"
"USA ","Occupational Therapy","93,000"
"New Zealand","Postdoctoral Researcher","93,000"
U.S.,"Organizational Development Specialist 4","93,000"
"New Zealand","Consulting Engineer","93,000"
Canada,"Mechanical Design Engineer","93,000"
"United States","District manager","93,000"
America,"Project director ","93,000"
Mexico,"Customer Success Manager","93,000"
USA,"Asylum Officer","93,000"
USA,"HR Consultant","93,000"
USA,"Lead Recruiting Coordinator","93,000"
US,"Product Director","93,000"
"United States","Optical Engineer","93,000"
USA,"Quality Assurance Director","93,000"
US,"Inside Account Representative ","93,000"
USA,"Sales operations program manager","93,000"
USA,"Senior Programmer","93,000"
US,"Design Engineer ","93,000"
"United States","Senior Demand Planner","93,000"
Canada,"Senior Employee Relations Consultant","93,000"
"United States","Marketing Content Writer","93,000"
"United states","Registered engineer","93,000"
"United States",Psychologist,"93,000"
"United States","E-commerce Merchandising Specialist","93,000"
"United States","Senior Manager II, People Operations","93,000"
Canada,"Automation Applications Engineer","93,000"
"United States","Software Engineer II","93,000"
USA,"Store Manager","93,000"
USA,"ILS Specialist","93,000"
"United States","Infrastructure Engineering Senior Advisor","93,000"
US,"Implementation Consultant","93,000"
"United states","National operations manager","93,000"
USA,"Director of Operations","93,000"
US,"Business Analyst (Operations)","93,000"
