City,Industry,Avg_Salary
Worcester,Insurance,95000
"Denver - remote","Computing or Tech",95000
"Atlanta ","Utilities & Telecommunications",95000
"Sacramento ","Accounting, Banking & Finance",95000
"West Chester","Engineering or Manufacturing",95000
"Tel Aviv","Health care",95000
"West palm beach ","Art & Design",95000
Rogers,"Computing or Tech",95000
Newburyport,Law,95000
Boardman,"Engineering or Manufacturing",95000
"Nanaimo ","Utilities & Telecommunications",95000
"New haven",Biotech,95000
Tyler,Insurance,95000
Abilene,manufacturing,95000
Agawam,Nonprofits,95000
"Hoyt Lakes","Government and Public Administration",95000
Lacombe,"Education (Primary/Secondary)",95000
"Albany ","Government and Public Administration",95000
Cary,"Accounting, Banking & Finance",95000
Montgomery,"Computing or Tech",95000
Burlington,"Social Work",95000
NY,Law,95000
Singapore,"Life Sciences",95000
Oakland,"Recruitment or HR",95000
"Asheville ","Property or Construction",95000
Stamford,"Art & Design",95000
Minneapolis,"Hardware Manufacturing",95000
Louisville,"Engineering or Manufacturing",94124.2
Regina,"Hospitality & Events",94000
Delaware,"Manufacturing (personal care)",94000
Wisconsin,"Utilities & Telecommunications",94000
"Las Vegas","Grantwriting Consultants",94000
"San Antonio ","Media & Digital",94000
"Western MD","Property or Construction",94000
Morenci,"Engineering or Manufacturing",94000
Jax,"Business or Consulting",94000
Beaverton,"Art & Design",93600
Knoxville,"Marketing, Advertising & PR",93500
Camden,"Computing or Tech",93500
Tallahassee,Law,93500
Austin,Translation,93400
Chattanooga,"Health care",93000
"Colorado Springs","DoD Contracting",93000
Hillsboro,"Health care",93000
Lexington,Biotechnology,93000
"Shreveport ","Health care",93000
"Terre Haute","Health care",93000
"Boynton Beach",Law,93000
Alameda,Biotech,93000
"Victoria ","Government and Public Administration",93000
Columbia,"Hospitality & Events",93000
Portland,"Supply Chain Operations",93000
"Redwood City","Marketing, Advertising & PR",92800
Bethlehem,"Utilities & Telecommunications",92700
"New York, NY",Insurance,92700
"Little rock","Utilities & Telecommunications",92600
"Oklahoma City ","Government and Public Administration",92500
"Lubbock ","Health care",92500
Kingston,"Computing or Tech",92500
Dover,"Health care",92500
"San Diego","Pharmaceutical ",92000
"Hunt Valley","Engineering or Manufacturing",92000
"I WFH full time for a remote organization (pre-pandemic)","Marketing, Advertising & PR",92000
Frederick,"Life Sciences",92000
"Lake Elsinor","Education (Primary/Secondary)",92000
"London, but for globally fully remote company","Computing or Tech",92000
"Alexandria ","Engineering or Manufacturing",92000
"Ocean County","Engineering or Manufacturing",92000
"Upstate New York",Law,92000
"Modesto ","Education (Higher Education)",92000
Lompoc,"Education (Primary/Secondary)",92000
Auckland,"Property or Construction",92000
"Fort Collins ","Computing or Tech",92000
Idaho,"Health care",92000
"Princeton ",Law,91898
Newark,"Accounting, Banking & Finance",91875
Fredericton,"Computing or Tech",91800
"Napa ","Hospitality & Events",91780
Remote,Sales,91750
Verona,"Computing or Tech",91716.66666666667
"Mentor, Ohio","Accounting, Banking & Finance",91520
Raleigh,Sales,91500
"Thetford Center","Computing or Tech",91250
Tampa,Pharma,91200
"New Brunswick ","Education (Higher Education)",91000
Augusta,"Agriculture or Forestry",91000
"New Orleans","Accounting, Banking & Finance",91000
"Swift current","Marketing, Advertising & PR",91000
Singaporw,"Computing or Tech",91000
Boise,Insurance,91000
"North of Portland","Education (Higher Education)",91000
Saline,Automotive,91000
"West St Paul","Social Work",91000
"Southampton ","Health care",91000
"Sydney ","Library ",91000
Baltimore,Retail,91000
"Norco ","Education (Primary/Secondary)",90757
Auckland,"Education (Higher Education)",90025
"Philadelphia ","Media & Digital",90018
"Greater Philadelphia Area","Pharmaceutical R&D",90000
"Union, NJ","Agriculture or Forestry",90000
Munich,Sales,90000
"Palm Springs","Accounting, Banking & Finance",90000
"Appleton ","Business or Consulting",90000
"Florham Park ","Business or Consulting",90000
"Tempe, AZ","Property or Construction",90000
"New York, NY","Marketing, Advertising & PR",90000
Mebourne,"Computing or Tech",90000
Regina,Libraries,90000
"Port Washington","Marketing, Advertising & PR",90000
Miami,"Government and Public Administration",90000
Lakeville,"Computing or Tech",90000
"San Francisco, but company is Boston based",EdTech,90000
"East Providence","Health care",90000
"Ann Arbor","Business or Consulting",90000
Toronto,Soldier,90000
"Marlborough ","Engineering or Manufacturing",90000
"Manhattan ",pharmaceuticals,90000
"Dallas ","Transport or Logistics",90000
"Winnipeg ","Government and Public Administration",90000
"Puyallup ",Internet,90000
"Oakland, CA ","Recruitment or HR",90000
Saxonburg,"Accounting, Banking & Finance",90000
Amarillo,"Recruitment or HR",90000
" Berkley Heights ","Recruitment or HR",90000
Glendora,"Education (Higher Education)",90000
Tigard,Nonprofits,90000
"Sydney ","Art & Design",90000
Jeffersonville,"Marketing, Advertising & PR",90000
"Dallas, TX","Transport or Logistics",90000
Hanover,"Marketing, Advertising & PR",90000
"Grand Junction ","Health care",90000
Denton,"Social Work",90000
"Ontario ","Education (Higher Education)",90000
Amherst,Law,90000
"Ocean Springs","Health care",90000
Seattle,"Industrial Hygiene",90000
Meriden,"Education (Primary/Secondary)",90000
Milwaukee,"Behavior analysis/mental health",90000
"Quantico ","Transport or Logistics",90000
"Pleasant grove","Marketing, Advertising & PR",90000
"Upper valley",Entertainment,90000
"Gympie ","Social Work",90000
Mackay,"Business or Consulting",90000
"Morrisville ","Health care",90000
Huntsville,"Media & Digital",90000
Ballarat,"Engineering or Manufacturing",90000
"Denver ",Insurance,90000
"Woodstock ","Social Work",90000
Jacksonville,Insurance,89748.33333333333
Oakland,"Art & Design",89500
"Ann Arbor","Accounting, Banking & Finance",89000
"San Rafael",Nonprofits,89000
"Long Island",Nonprofits,89000
"San Luis Obispo ",Nonprofits,89000
Orlando,"Benefits Administration",89000
Bristol,Manufacturing,89000
"North Platte","Accounting, Banking & Finance",89000
Adelaide,"Hospitality & Events",89000
Albuquerque,"Business or Consulting",89000
"St Louis","Health care",88410
"Los Angeles",Sales,88400
Anchorage,Law,88361.66666666667
"Saint Paul","Health care",88360
"San Jose ","Government and Public Administration",88207
Palmdale,"Engineering or Manufacturing",88058.5
Folsom,"Education (Primary/Secondary)",88000
"Orange county ",Retail,88000
Lansdale,"Engineering or Manufacturing",88000
Layton,"Business or Consulting",88000
Nashua,"Engineering or Manufacturing",88000
"Des Moines","Manufacturing ",88000
"Tinley Park","Education (Higher Education)",88000
"New York","Business or Consulting",87999.7
Bismarck,environmental,87880
Auckland,"Accounting, Banking & Finance",87733.33333333333
Conroe,"Education (Primary/Secondary)",87593
Boston,Pharma,87543.5
Lincoln,Law,87533.5
Seymour,Manufacturing,87500
"St. Louis ","Health care",87500
Sterling,"Marketing, Advertising & PR",87500
Danbury,"Health care",87500
Shelton,Retail,87500
"New York City",Insurance,87247.8
"Seattle ","Government and Public Administration",87026.66666666667
Columbus,Training,87000
"Los Angeles metro area","Engineering or Manufacturing",87000
Meridian,"Education (Higher Education)",87000
"St. Paul ","Recruitment or HR",87000
Lisle,"Transport or Logistics",87000
"Montgomery ","Accounting, Banking & Finance",87000
"St. Louis",Insurance,87000
Markham,"Computing or Tech",87000
Skowhegan,Maintenance,87000
Sydney,"Funeral services",87000
Natick,"Computing or Tech",86913
Cleveland,"Business or Consulting",86879
"Santa Barbara",Nonprofits,86867.5
"Norfolk ",Environmental,86700
"Eden Prairie","Engineering or Manufacturing",86666.66666666667
Joplin,"Accounting, Banking & Finance",86600
Ashburn,"Government and Public Administration",86500
"New York ","Recruitment or HR",86500
SC,"Accounting, Banking & Finance",86228
"Chicago ",Purchasing,86200
remote,"Engineering or Manufacturing",86135
Greensboro,"Engineering or Manufacturing",86083
"Columbus ",Sales,86000
Northfield,"Engineering or Manufacturing",86000
"Madison, WI","Computing or Tech",86000
Douglas,"Computing or Tech",86000
"Sanford ","Engineering or Manufacturing",86000
"Fairfax ","Engineering or Manufacturing",86000
"Baltimore Area","Education (Higher Education)",86000
Eagan,"Engineering or Manufacturing",86000
Canada,"Engineering or Manufacturing",86000
Addis,"Engineering or Manufacturing",86000
Williston,"Engineering or Manufacturing",86000
"Denver ","Recruitment or HR",86000
"Norton Shores","Engineering or Manufacturing",85941
Pasadena,"Health care",85333.33333333333
Atlanta,Libraries,85200
Manassas,"Government and Public Administration",85165.5
Chantilly,"Computing or Tech",85083.5
"NYC ","Computing or Tech",85069
Midland,"Engineering or Manufacturing",85047
Fairfax,"Business or Consulting",85033
"Pleasant Grove","Computing or Tech",85000
"Munich ","Engineering or Manufacturing",85000
Warwick,"Art & Design",85000
Hamilton,"Marketing, Advertising & PR",85000
Mattawan,"Engineering or Manufacturing",85000
Brisbane,Nonprofits,85000
"St. Louis","Agriculture or Forestry",85000
"Houston ","Accounting, Banking & Finance",85000
Collinsville,"Health care",85000
Lancaster,"Business or Consulting",85000
"Weehawken ","Accounting, Banking & Finance",85000
"Jonesboro ","Accounting, Banking & Finance",85000
Raynham,Retail,85000
Loveland,"Agriculture or Forestry",85000
"Apple Valley","Accounting, Banking & Finance",85000
"Sonoma County","Accounting, Banking & Finance",85000
"Stuttgart ","Engineering or Manufacturing",85000
N?berg,"Computing or Tech",85000
Troy,"Marketing, Advertising & PR",85000
Missoula,"Accounting, Banking & Finance",85000
Southfield,"Accounting, Banking & Finance",85000
"Minneapolis ","Business or Consulting",85000
Queens,"Health care",85000
"San Francisco","Food Industry",85000
