Industry,Gender,Avg_Salary
"Lobbying and consulting",Woman,75
"Pest Control",Woman,75
"commodities trading",Woman,75
"Online education",Woman,75
"Consumer Product Goods",Woman,75
"Utilities & Telecommunications",nil,75
"Automotive ",Man,75
"Mining/Resource Extraction",Woman,74
"Life Sciences ",Woman,74
"Educational assessment",Woman,74
Accessibility,Woman,74
"Research (health)",Woman,74
Beauty,Woman,73.5
Eap,Woman,73
"Real Estate Investment",Woman,73
"Mental health therapist",Woman,73
"Energy Supplier",Woman,73
"Think tank",Woman,73
"Payment Processing",Woman,73
"Health Insurance ",Woman,72
Politics,"Other or prefer not to answer",72
Logistics,Woman,72
Planning,Woman,72
"Beauty/service industry ",Woman,72
"Commercial Real Estate - Private Equity",Woman,72
"Wherever I'm assigned via the union",Woman,72
Faith/spirituality,Woman,72
"Gaming (Gambling)",Man,72
"Animal Caretaker","11 - 20 years",72
"In-House Marketing",Woman,72
Wine,Woman,72
"Animal Health",Woman,72
"Renewable fuels",Woman,72
"Pension Benefit Administration",Man,72
Philanthropy,Woman,71.55555555555556
"Renewable Energy",Non-binary,71
"Marketing technology",Non-binary,71
Clergy,Woman,71
"Cancer research, not for profit",Woman,71
"Public Health- state level",Woman,71
"Defense ",Man,71
Politics/Campaigns,Woman,70.5
"Fire protection",Woman,70
Science/Research,Woman,70
"Federal Contracting/Business Development",Man,70
"Craft Beer Industry ",Woman,70
"Information Technology ",Man,70
"Education (Other)",Non-binary,70
"Environment, health, and safety",Woman,70
"Government contractor ",Woman,70
"Regulatory Affairs- nutraceuticals ",Woman,70
"Manufacturing : corporate admin support",Woman,70
"Scientific analysis",Woman,70
Vet,Man,70
"Software Development / IT",Non-binary,70
"Real estate servicea",Man,70
"Call center",Man,70
Service,Woman,70
"Language Services company, unsure the broad category to use. Our clients are branding agencies, and their clients are frequently (but not always) pharmaceutical companies.","Other or prefer not to answer",70
"medical research ",Woman,69
publishing/edtech,Woman,69
"Defense Contractor",Woman,69
"Nonprofit - legal department",Woman,69
"Life Sciences ",Man,69
"Nonprofit association",Woman,69
Wholesale,Woman,69
"Consumer Products design ",Woman,69
"Software as a Service SaaS",Woman,68
Aerospace/Defense,Woman,68
"Learning & Development",Woman,68
Gaming,Woman,68
"Engineering or Manufacturing","2 - 4 years",68
"Pharmaceutical Manufacturing ",Woman,68
"Training and Professional Services",Woman,68
"I work for Indeed.com",Woman,68
"Luxury Fashion",Woman,68
"Government relations ",Woman,68
"Academia / Research",Woman,68
"Diagnostic Medical Devices",Man,68
"Food Industry",Man,68
"Clinical trials",Man,68
Security,Woman,67.5
"Educational Technology - hybrid between book publishing and technology really",Woman,67
"Public health in higher education",Woman,67
"Information services (libraries)",Woman,67
"Manufacturing, Chemical",Woman,67
Beverage,Woman,67
"Administrative Support",Woman,67
"Industrial Supply",Man,67
"Retail real estate",Woman,67
Association,Woman,67
"Property or Construction",Non-binary,66.75
"Apparel manufacture",Woman,66
Gambling,Woman,66
"For profit education",Woman,66
"municipal (public) libraries",Woman,66
"Biotech/Food Safety",Man,66
"Corporate service management",Woman,66
Labor,Woman,66
"Research - academic",Woman,66
"Clinical Research ",Woman,65.66666666666667
Cannabis,Woman,65.5
""Government Relations"" (Lobbying) "",Woman,65
"trade association/membership",Woman,65
"Museum - Nonprofit",Woman,65
"Public health",Non-binary,65
"Mining/Mineral Exploration",Woman,65
"Research & Development",Man,65
"Education (Higher Education)","Professional degree (MD, JD, etc.)",65
"Public Library (might be considered Government, but that always seems an odd designation...)",Woman,65
"Scientific publishing",Woman,65
"Political Consulting",Woman,65
"Publishing ",nil,65
"Food manufacturing ",Woman,65
"Real Estate/Development",Woman,65
"Public Libraries ",Woman,65
"Production and Manufacturing",Woman,65
Forensics,Woman,65
Music,Man,65
Cannabis,Man,65
"Science/Biotech ",Woman,65
"Clinical research and development ",Woman,65
HRO,Woman,64
"market research",Non-binary,64
"Quality Assurance Laboratory ",Woman,64
Politics,Non-binary,64
"Customer service/publishing-adjacent ",Woman,64
"Government and Public Administration","College degree",64
"Community Management",Woman,64
"Pharmaceutical research (chemist)",Woman,64
"Municipal library",Woman,63
"librarian--Contractor for NASA",Woman,63
"Administration, IT",Woman,63
"Early Childhood Education",Woman,63
"Real Estate Investment Support",Woman,63
"Food Manufacture",Man,63
"Restaurant Group ",Woman,63
"Healthcare Information Technology",Woman,63
"parking ",Woman,63
nil,nil,63
"Food manufacturing",Woman,62.5
"labour/professional organization",Woman,62
"Private company, federal contractor ",Woman,62
"Title/Real Estate ",Non-binary,62
"Architecture / Engineering",Woman,62
"Public Library (Non-profit, but also government?)",Woman,62
"Learning and Development",Man,62
"Household Services",Non-binary,62
"Construction, HVAC ",Woman,62
Energy/oil,Woman,62
"Religious (synagogue)",Woman,62
Archives/Libraries,Woman,62
Libraries,"5-7 years",62
"Real estate valuation",Woman,62
"Environmental Services",Woman,62
"Higher education/Libraries",Woman,62
"Supply Chain Distribution ",Woman,61
"Health Research",Woman,61
"public libraries ",nil,61
"Winery regulatory compliance ",Woman,61
Printing,Woman,61
"Agriculture or Forestry","Other or prefer not to answer",60.333333333333336
Archives,Woman,60.25
"project management ",Woman,60
"Education (early childhood)",Woman,60
"Intergovernmental organization",Woman,60
